# tau(fm)  R_shearpi  R_Pi  gamma  T[GeV]
    6.00000000e-01  2.15975935e+00  3.43305938e-01  1.04648103e+00  3.16465566e-01
    6.05000000e-01  2.13436544e+00  3.37304848e-01  1.04656025e+00  3.15675733e-01
    6.10000000e-01  2.11002257e+00  3.31546082e-01  1.04681647e+00  3.14877539e-01
    6.15000000e-01  2.08661741e+00  3.26061416e-01  1.04714288e+00  3.14076042e-01
    6.20000000e-01  2.06389686e+00  3.20817912e-01  1.04754771e+00  3.13273356e-01
    6.25000000e-01  2.04179803e+00  3.15773031e-01  1.04801669e+00  3.12471708e-01
    6.30000000e-01  2.02027094e+00  3.10893635e-01  1.04853628e+00  3.11673204e-01
    6.35000000e-01  1.99927373e+00  3.06154828e-01  1.04909438e+00  3.10879708e-01
    6.40000000e-01  1.97879359e+00  3.01537049e-01  1.04968078e+00  3.10092668e-01
    6.45000000e-01  1.95880814e+00  2.97024577e-01  1.05028702e+00  3.09313368e-01
    6.50000000e-01  1.93928652e+00  2.92604234e-01  1.05090598e+00  3.08542906e-01
    6.55000000e-01  1.92023146e+00  2.88264555e-01  1.05153168e+00  3.07782033e-01
    6.60000000e-01  1.90162269e+00  2.83996383e-01  1.05215915e+00  3.07031398e-01
    6.65000000e-01  1.88344930e+00  2.79792507e-01  1.05278414e+00  3.06291445e-01
    6.70000000e-01  1.86570039e+00  2.75647128e-01  1.05340298e+00  3.05562488e-01
    6.75000000e-01  1.84836239e+00  2.71555086e-01  1.05401262e+00  3.04844749e-01
    6.80000000e-01  1.83142249e+00  2.67511788e-01  1.05461060e+00  3.04138294e-01
    6.85000000e-01  1.81487164e+00  2.63513592e-01  1.05519507e+00  3.03443064e-01
    6.90000000e-01  1.79870246e+00  2.59557648e-01  1.05576457e+00  3.02758919e-01
    6.95000000e-01  1.78290521e+00  2.55641213e-01  1.05631805e+00  3.02085624e-01
    7.00000000e-01  1.76746845e+00  2.51761550e-01  1.05685470e+00  3.01422902e-01
    7.05000000e-01  1.75238097e+00  2.47915982e-01  1.05737403e+00  3.00770468e-01
    7.10000000e-01  1.73763056e+00  2.44102308e-01  1.05787570e+00  3.00128005e-01
    7.15000000e-01  1.72320683e+00  2.40318911e-01  1.05835957e+00  2.99495156e-01
    7.20000000e-01  1.70910119e+00  2.36564457e-01  1.05882572e+00  2.98871520e-01
    7.25000000e-01  1.69530437e+00  2.32837525e-01  1.05927437e+00  2.98256661e-01
    7.30000000e-01  1.68180846e+00  2.29137205e-01  1.05970588e+00  2.97650136e-01
    7.35000000e-01  1.66860604e+00  2.25463086e-01  1.06012059e+00  2.97051527e-01
    7.40000000e-01  1.65569035e+00  2.21814757e-01  1.06051895e+00  2.96460461e-01
    7.45000000e-01  1.64305357e+00  2.18191736e-01  1.06090149e+00  2.95876592e-01
    7.50000000e-01  1.63068595e+00  2.14593201e-01  1.06126882e+00  2.95299574e-01
    7.55000000e-01  1.61857924e+00  2.11018309e-01  1.06162164e+00  2.94729067e-01
    7.60000000e-01  1.60672469e+00  2.07466428e-01  1.06196064e+00  2.94164767e-01
    7.65000000e-01  1.59511405e+00  2.03937282e-01  1.06228646e+00  2.93606391e-01
    7.70000000e-01  1.58373960e+00  2.00430576e-01  1.06259967e+00  2.93053657e-01
    7.75000000e-01  1.57259445e+00  1.96946135e-01  1.06290087e+00  2.92506305e-01
    7.80000000e-01  1.56167314e+00  1.93483972e-01  1.06319059e+00  2.91964108e-01
    7.85000000e-01  1.55097006e+00  1.90044233e-01  1.06346937e+00  2.91426870e-01
    7.90000000e-01  1.54048016e+00  1.86627089e-01  1.06373766e+00  2.90894409e-01
    7.95000000e-01  1.53019670e+00  1.83232310e-01  1.06399596e+00  2.90366556e-01
    8.00000000e-01  1.52011235e+00  1.79859480e-01  1.06424474e+00  2.89843160e-01
    8.05000000e-01  1.51022166e+00  1.76508418e-01  1.06448445e+00  2.89324089e-01
    8.10000000e-01  1.50051969e+00  1.73178663e-01  1.06471555e+00  2.88809220e-01
    8.15000000e-01  1.49100241e+00  1.69869734e-01  1.06493854e+00  2.88298437e-01
    8.20000000e-01  1.48166840e+00  1.66581628e-01  1.06515388e+00  2.87791637e-01
    8.25000000e-01  1.47251556e+00  1.63314288e-01  1.06536201e+00  2.87288718e-01
    8.30000000e-01  1.46353954e+00  1.60067675e-01  1.06556336e+00  2.86789587e-01
    8.35000000e-01  1.45473583e+00  1.56841858e-01  1.06575826e+00  2.86294166e-01
    8.40000000e-01  1.44610018e+00  1.53636550e-01  1.06594700e+00  2.85802375e-01
    8.45000000e-01  1.43762853e+00  1.50451208e-01  1.06612992e+00  2.85314144e-01
    8.50000000e-01  1.42931631e+00  1.47285207e-01  1.06630732e+00  2.84829429e-01
    8.55000000e-01  1.42115717e+00  1.44137749e-01  1.06647953e+00  2.84348205e-01
    8.60000000e-01  1.41314464e+00  1.41008300e-01  1.06664679e+00  2.83870452e-01
    8.65000000e-01  1.40527472e+00  1.37896519e-01  1.06680929e+00  2.83396157e-01
    8.70000000e-01  1.39754546e+00  1.34802511e-01  1.06696723e+00  2.82925308e-01
    8.75000000e-01  1.38995356e+00  1.31726443e-01  1.06712078e+00  2.82457889e-01
    8.80000000e-01  1.38249409e+00  1.28668214e-01  1.06727011e+00  2.81993877e-01
    8.85000000e-01  1.37516361e+00  1.25627439e-01  1.06741543e+00  2.81533250e-01
    8.90000000e-01  1.36795832e+00  1.22603676e-01  1.06755689e+00  2.81076003e-01
    8.95000000e-01  1.36087320e+00  1.19596310e-01  1.06769457e+00  2.80622126e-01
    9.00000000e-01  1.35390341e+00  1.16604722e-01  1.06782860e+00  2.80171594e-01
    9.05000000e-01  1.34704423e+00  1.13628343e-01  1.06795914e+00  2.79724382e-01
    9.10000000e-01  1.34029181e+00  1.10666666e-01  1.06808633e+00  2.79280464e-01
    9.15000000e-01  1.33364269e+00  1.07719315e-01  1.06821028e+00  2.78839814e-01
    9.20000000e-01  1.32709380e+00  1.04786120e-01  1.06833109e+00  2.78402420e-01
    9.25000000e-01  1.32064223e+00  1.01866888e-01  1.06844879e+00  2.77968263e-01
    9.30000000e-01  1.31428442e+00  9.89614307e-02  1.06856347e+00  2.77537323e-01
    9.35000000e-01  1.30801700e+00  9.60691570e-02  1.06867515e+00  2.77109587e-01
    9.40000000e-01  1.30183666e+00  9.31895557e-02  1.06878393e+00  2.76685031e-01
    9.45000000e-01  1.29574068e+00  9.03224359e-02  1.06888992e+00  2.76263620e-01
    9.50000000e-01  1.28972703e+00  8.74674989e-02  1.06899323e+00  2.75845319e-01
    9.55000000e-01  1.28379349e+00  8.46245438e-02  1.06909391e+00  2.75430097e-01
    9.60000000e-01  1.27793831e+00  8.17936624e-02  1.06919206e+00  2.75017921e-01
    9.65000000e-01  1.27215979e+00  7.89749213e-02  1.06928776e+00  2.74608748e-01
    9.70000000e-01  1.26645662e+00  7.61683454e-02  1.06938112e+00  2.74202531e-01
    9.75000000e-01  1.26082719e+00  7.33738664e-02  1.06947220e+00  2.73799212e-01
    9.80000000e-01  1.25526826e+00  7.05910966e-02  1.06956108e+00  2.73398728e-01
    9.85000000e-01  1.24977666e+00  6.78196337e-02  1.06964790e+00  2.73001012e-01
    9.90000000e-01  1.24434993e+00  6.50591213e-02  1.06973288e+00  2.72605991e-01
    9.95000000e-01  1.23898523e+00  6.23091212e-02  1.06981623e+00  2.72213588e-01
