# tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)  
    6.00000000e-01  -2.61297713e-02  3.04396821e-03  8.24190090e-03  -1.17467288e-04  6.09854093e-03  -1.00784180e-05  -1.32269124e-01  3.35013923e-02  -1.17940918e-01  3.53692760e-02  -1.17319903e-01  3.48201685e-02  -3.96278092e-02  -2.19632541e-02  -3.55080286e-02  -1.53711811e-02  -3.62108391e-02  -1.63993832e-02  
    6.05000000e-01  -2.63078779e-02  3.31816781e-03  7.96920445e-03  -7.81750891e-05  5.89002316e-03  3.26080745e-05  -1.32686580e-01  3.54672357e-02  -1.18526740e-01  3.72506381e-02  -1.17880654e-01  3.67087533e-02  -4.02275480e-02  -2.22489532e-02  -3.63453990e-02  -1.56339122e-02  -3.69699222e-02  -1.66856403e-02  
    6.10000000e-01  -2.65254377e-02  3.56008544e-03  7.67360583e-03  -5.61543033e-05  5.65949093e-03  5.92047920e-05  -1.32807609e-01  3.72452363e-02  -1.18793490e-01  3.88943938e-02  -1.18133477e-01  3.83613883e-02  -4.05628607e-02  -2.24476068e-02  -3.68360773e-02  -1.58822271e-02  -3.73891170e-02  -1.69564217e-02  
    6.15000000e-01  -2.67371229e-02  3.78509879e-03  7.38347411e-03  -3.17764398e-05  5.43146992e-03  8.68868687e-05  -1.32691544e-01  3.89029354e-02  -1.18842512e-01  4.04273604e-02  -1.18177581e-01  3.99052547e-02  -4.02872767e-02  -2.26566339e-02  -3.67882080e-02  -1.61348752e-02  -3.72779829e-02  -1.72217085e-02  
    6.20000000e-01  -2.69476471e-02  3.99545995e-03  7.09610437e-03  -4.89568229e-06  5.20373361e-03  1.16008959e-04  -1.32325586e-01  4.04158424e-02  -1.18675970e-01  4.18379246e-02  -1.18013820e-01  4.13271241e-02  -3.95834908e-02  -2.28234217e-02  -3.62622551e-02  -1.63683251e-02  -3.66983539e-02  -1.74594064e-02  
    6.25000000e-01  -2.71562906e-02  4.19237585e-03  6.81005544e-03  2.50963698e-05  4.97545689e-03  1.47185797e-04  -1.31814764e-01  4.18193460e-02  -1.18375599e-01  4.31709249e-02  -1.17720796e-01  4.26720890e-02  -3.88844893e-02  -2.28292159e-02  -3.56939081e-02  -1.64324943e-02  -3.60814527e-02  -1.75224711e-02  
    6.30000000e-01  -2.73612967e-02  4.37664357e-03  6.52084183e-03  5.81977509e-05  4.74315061e-03  1.80384497e-04  -1.31179332e-01  4.31366521e-02  -1.17940637e-01  4.44632622e-02  -1.17297617e-01  4.39726144e-02  -3.82500050e-02  -2.25954219e-02  -3.51014883e-02  -1.62414500e-02  -3.54419398e-02  -1.73312071e-02  
    6.35000000e-01  -2.75615040e-02  4.54895800e-03  6.22817692e-03  9.37087441e-05  4.50674113e-03  2.14935950e-04  -1.30447660e-01  4.43210473e-02  -1.17394366e-01  4.56537205e-02  -1.16768317e-01  4.51708770e-02  -3.75926067e-02  -2.21628233e-02  -3.44788157e-02  -1.58332024e-02  -3.47729420e-02  -1.69289919e-02  
    6.40000000e-01  -2.77573004e-02  4.71025544e-03  5.93099377e-03  1.33009215e-04  4.26536182e-03  2.52138213e-04  -1.29610919e-01  4.53716143e-02  -1.16769175e-01  4.67094028e-02  -1.16162984e-01  4.62366773e-02  -3.68444632e-02  -2.16478935e-02  -3.38685443e-02  -1.52965459e-02  -3.41110464e-02  -1.63980364e-02  
    6.45000000e-01  -2.79483802e-02  4.86114229e-03  5.62975451e-03  1.74240317e-04  4.01945276e-03  2.90444711e-04  -1.28747269e-01  4.62991430e-02  -1.16087437e-01  4.76387801e-02  -1.15504107e-01  4.71769237e-02  -3.60545215e-02  -2.10770038e-02  -3.31938405e-02  -1.47566501e-02  -3.33836218e-02  -1.58605232e-02  
